session_id,title,detail_url,start,end,level,topic,track,code,speakers,conf_id,conference,description
1010,[🚨SOLD OUT] Chat with Your Data: Unlocking AI Insights in Power BI,https://www.sharepointeurope.com/events/chat-with-your-data-unlocking-ai-insights-in-power-bi/,2025-09-15 09:00:00,2025-09-15 17:00:00,300 - Technical,Power BI,Power BI,J,"Mohammad Ali, Microsoft; Sid Vemuri, Microsoft",1000,FabCon2025EuropeVienna,"The workshop will cover several key aspects to ensure your data is set up and ready for AI in Power BI. We’ll delve into the essential components and strategies required to prepare your data for AI. It will include guidelines on data structuring, cleaning, and validation to ensure accuracy and reliability."
1011,CORENOTE: The roadmap for Microsoft SQL ground to cloud to fabric,https://www.sharepointeurope.com/events/the-roadmap-for-microsoft-sql-ground-to-cloud-to-fabric/,2025-09-16 10:30:00,2025-09-16 11:30:00,200 - Feature Orientated,SQL in Fabric,Azure SQL,T1,"Bob Ward, Microsoft; Priya Sathy, Microsoft",1000,FabCon2025EuropeVienna,"SQL is everywhere you need it with SQL Server 2025, Azure SQL, and SQL database in Fabric. Build AI applications once with your data and deploy it on-premises, in the cloud or fabric. In this session you will hear from the leaders of Microsoft engineering on the latest innovations and futures of SQL, AI, and Fabric all built with the industry proven database engine. All of this is yours to come and see with the popular T-SQL language, Copilot experiences, SSMS, all integrated into Fabric with mirroring."
1012,CORENOTE: Fabric Data Factory: What's New and Roadmap,https://www.sharepointeurope.com/events/fabric-data-factory-whats-new-and-roadmap/,2025-09-16 10:30:00,2025-09-16 11:30:00,100 - Business Level,Data Integration,Data Integration,T2,"Wee Hyong Tok, Microsoft; Faisal Mohamood, Microsoft",1000,FabCon2025EuropeVienna,"In this session, you will learn about the exciting Fabric Data Factory product innovations and roadmap, across data movement, data transformation and orchestration capabilities, that will enable you to be more productive, and effective."
1013,"CORENOTE: Fabric Data Warehouse - what's new, what's next",https://www.sharepointeurope.com/events/fabric-data-warehouse-whats-new-whats-next/,2025-09-16 10:30:00,2025-09-16 11:30:00,100 - Business Level,Data Warehousing,Data Warehousing,T3,"Bogdan Crivat, Microsoft",1000,FabCon2025EuropeVienna,"An overview of the most recent evolutions in Fabric Data Warehousing, including features and performance updates, demos, customer perspectives as well as roadmap for the next few months."
1014,TMDL Playoffs: Boost Your Power BI Productivity,https://www.sharepointeurope.com/events/tmdl-playoffs-boost-your-power-bi-productivity/,2025-09-16 10:30:00,2025-09-16 11:30:00,200 - Feature Orientated,Power BI,Developer Experiences,T4,"Roger Unholz, BSgroup Data Analytics; Ivo Schindelholz, BSgroup Data Analytics AG",1000,FabCon2025EuropeVienna,"Get ready for a fast-paced, high-energy session where two Power BI experts go head-to-head in a friendly competition to showcase the power of Tabular Model Definition Language (TMDL). Through real-world demos and rapid-fire tips, they’ll battle it out to see who can deliver the smartest, most efficient modeling solutions using TMDL. The audience gets to decide who wins—while walking away the real winners themselves. Whether you’re building complex semantic models or just looking to boost your daily productivity, this session will open your eyes to the possibilities TMDL brings to modern Power BI development. You’ll learn how to work smarter, model faster, and gain more control over your Power BI assets using TMDL’s expressive and structured approach. Perfect for Power BI developers, data modelers, and analysts, this session promises actionable insights, a bit of fun, and a whole lot of modeling magic."
1015,Demystifying Spark Profile Optimizations in Microsoft Fabric,https://www.sharepointeurope.com/events/demystifying-spark-profile-optimizations-in-microsoft-fabric/,2025-09-16 10:30:00,2025-09-16 11:30:00,300 - Technical,Data Engineering,Data Engineering,T5,"Thibauld Croonenborghs, AE",1000,FabCon2025EuropeVienna,"Optimizing Spark workloads in Microsoft Fabric can be a complex endeavor, given the array of available configurations and techniques. Terms like V-Order, Z-Order, and considerations for read-heavy versus write-heavy profiles often add to the confusion. In this session, we’ll bring clarity to these concepts, offering a structured overview of each optimization strategy. Through practical examples and performance considerations, attendees will gain insights into selecting the appropriate configurations for their specific use cases, whether dealing with read-intensive analytics or write-heavy data ingestion processes. By the end of this talk, you’ll be equipped with the knowledge to make informed decisions, turning the complexity of Spark optimizations into a strategic advantage"
1016,Building Multi-Agent Systems for Enterprise Data with Azure AI Foundry & Fabric Data Agents,https://www.sharepointeurope.com/events/building-multi-agent-systems-for-enterprise-data-with-azure-ai-foundry-fabric-data-agents/,2025-09-16 10:30:00,2025-09-16 11:30:00,Level 300- Advanced,Azure AI Foundry,Azure AI Foundry,T6,"Abid Nazir Guroo, Microsoft; Marco Casalaina, VP, AI, Microsoft",1000,FabCon2025EuropeVienna,"Abid Nazir Guroo Marco Casalaina, VP, AI Find us and follow us Enter something special: Already a member? Simply Login Become an ESPC Community Member today to access a wealth of SharePoint, and Azure knowledge for free. New content is added daily to the online Resource Centre, across a variety of topics and formats from Microsoft MVP’s and industry experts. With over 2,500 eBooks, webinars, presentations, how to videos and blogs, there is something to suit everyone’s learning styles and career goals. Already have an account? Sign In Not a member yet? Create a free account Sign Up Sign up to receive exclusive content and analysis from the Microsoft 365 & Azure community, as well as the latest conference updates and offers. NOTE: This is for content only. You do not need to register for conference sessions."
1017,CORENOTE: Microsoft Purview Data Governance in the era of AI,https://www.sharepointeurope.com/events/microsoft-purview-data-governance-in-the-era-of-ai/,2025-09-16 10:30:00,2025-09-16 11:30:00,200 - Feature Orientated,Microsoft Purview,Admin & Governance,T7,"Damon Buono, Microsoft; Mahesh Uppala, Microsoft",1000,FabCon2025EuropeVienna,"In the era of AI, establishing a data governance strategy is becoming core table stakes for organizations as they pivot towards embracing and enabling AI innovation. This session will highlight Microsoft’s Purview Data Governance product, how it enables modern data governance in the era of AI, with a focus on the latest innovations enabling effective data governance in Microsoft Fabric."
1018,Trust Your Data's Journey: Deep Dive into Technical Logging for Fabric's Meta-Driven Pipelines,https://www.sharepointeurope.com/events/trust-your-datas-journey-deep-dive-into-technical-logging-for-fabrics-meta-driven-pipelines/,2025-09-16 10:30:00,2025-09-16 11:30:00,300 - Technical,Data Engineering,Data Engineering,T8,"Henrik Siesenis, Obungi; Niels Siepe, Obungi",1000,FabCon2025EuropeVienna,"The implementation of metadata-driven frameworks to streamline data across the Medallion Architecture within Microsoft Fabric offers significant potential for scalability. However, this very scalability introduces a critical operational challenge: as projects grow in size and complexity, it becomes increasingly difficult to effectively monitor the reliability, timeliness, and trustworthiness of the vast amounts of data being processed. This inevitable consequence raises pressing questions: How do we maintain visibility into the health of our ETL processes across the Bronze, Silver, and Gold layers? More importantly, how can business users confidently validate if the data they rely on for critical decisions is up-to-date, or if a crucial pipeline step has failed? This session addresses these challenges, providing a practical guide to implementing a comprehensive technical logging and monitoring framework within a meta-driven Medallion Architecture in Microsoft Fabric. We will move beyond basic pipeline run statuses and explore patterns for capturing detailed operational metadata such as execution times, record counts, error specifics, and data lineage hints. Furthermore, we will demonstrate how to leverage Fabric’s capabilities to transform the raw log data into actionable intelligence through intuitive dashboards and automated alerts. This approach equips data engineers with the necessary insights for troubleshooting and optimization, while simultaneously offering business users the transparency needed to verify data timeliness and reliability."
1019,Use AI and Python in T-SQL to supercharge your Data Warehousing solutions,https://www.sharepointeurope.com/events/use-ai-and-python-in-t-sql-to-supercharge-your-data-warehousing-solutions/,2025-09-16 10:30:00,2025-09-16 11:30:00,300 - Technical,Data Warehousing,Data Engineering,T9,"Jovan Popovic, Microsoft; Salil Kanade, Microsoft",1000,FabCon2025EuropeVienna,"Data warehouse development is entering a new era with the integration of AI and Python extensibility into the T-SQL language. In this session, you will learn the patterns and best practices for effective use of the new AI functions in T-SQL and integrate Fabric user-defined Python functions to implement complex tasks that were previously impossible with standard T-SQL language. We will explore how to perform complex data transformations, leveraging the full power of AI and Python functions to implement complex business, data processing and data science logic, access external APIs and external data sources. Join us to discover the patterns and best practices that you can use to leverage the latest AI and extensibility enhancements in Fabric Data Warehouse, bringing your solutions to the next level of possibilities."
1020,Digital Twins as Command Centers: When Your Operations Data Takes Control,https://www.sharepointeurope.com/events/digital-twins-as-command-centers-when-your-operations-data-takes-control/,2025-09-16 10:30:00,2025-09-16 11:30:00,Level 200 - Intermediate,Data,Data,T10,"Subramanian Muthukrishnan, iLink Digital",1000,FabCon2025EuropeVienna,"Your operational data isn’t just information anymore – it’s becoming your most intelligent operations team member. Whether you’re managing hospitals, retail operations, manufacturing plants, energy grids, or corporate facilities , discover how Microsoft Fabric’s digital twin builder transforms operational data into autonomous business agents that predict, optimize, and orchestrate across your entire operation ."
1021,"CORENOTE: Power BI Roadmap: Strategy, Vision, and Demos",https://www.sharepointeurope.com/events/power-bi-roadmap-strategy-vision-and-demos/,2025-09-16 12:00:00,2025-09-16 13:00:00,200 - Feature Orientated,Power BI,Power BI,T11,"Mohammad Ali, Microsoft; Roseanne Levasseur, Microsoft",1000,FabCon2025EuropeVienna,"Power BI empowers every organization to meet the most demanding modern enterprise needs. As a foundational part of Microsoft Fabric, Power BI is transforming how analytics projects are delivered. Understand why customers large and small are standardizing on Power BI. In this session you will hear about the Power BI strategy, building a data culture in your organization, and how to turn insights into action. Get a glimpse into the future of Power BI with exclusive sneak peeks of upcoming features to help you harness the full potential of your data."
1022,"The Fabric AI Compass: Navigating AI in, with, and around Microsoft Fabric",https://www.sharepointeurope.com/events/the-fabric-ai-compass-navigating-ai-in-with-and-around-microsoft-fabric/,2025-09-16 12:00:00,2025-09-16 13:00:00,200 - Feature Orientated,Data Science,Data Science,T12,"Maria Mohr, Obungi; Jannik Luxenburger, Obungi",1000,FabCon2025EuropeVienna,"AI is reshaping the data landscape at incredible speed—and Microsoft Fabric is evolving just as rapidly to meet the moment. But with so many new capabilities emerging in, with, and around Fabric, the challenge isn’t just what’s possible—it’s knowing where to focus. This session introduces The Fabric AI Compass: a conceptual framework designed to help you orient yourself in this expanding ecosystem and navigate the many layers of AI that are becoming core to data work. Using the metaphor of a compass, we’ll map out the four cardinal directions that represent the major vectors of AI value in the Fabric platform—from productivity-enhancing copilots, to intelligent agents that streamline operations, to powerful machine learning workflows and strategic AI integrations that push the boundaries of what’s next. Rather than diving deep into a single tool or service, this session takes a panoramic view—showing how AI features connect across personas, workloads, and business goals. We’ll look at embedded AI in Fabric experiences, services like Copilot Studio and Azure AI Agents that work alongside Fabric, and platforms like Azure ML and AI Foundry that expand its reach for advanced scenarios. By the end of this session, you’ll have a clear and structured understanding of how AI is woven into Microsoft Fabric and its surrounding ecosystem. You’ll leave with a practical mental model—a compass—that helps you make sense of the different AI capabilities, align them to your goals, and communicate their value to your teams and stakeholders. Whether you’re charting a new course or adjusting your current direction, this session will help you navigate with clarity and confidence."
1023,Unleash the power of SQL Database In Fabric - Deep Dive,https://www.sharepointeurope.com/events/unleash-the-power-of-sql-database-in-fabric-deep-dive/,2025-09-16 12:00:00,2025-09-16 13:00:00,200 - Feature Orientated,SQL in Fabric,Azure SQL,T13,"Idris Motiwala, Microsoft; Strahinja Rodic, Microsoft",1000,FabCon2025EuropeVienna,"Idris Motiwala Strahinja Rodic Find us and follow us Enter something special: Already a member? Simply Login Become an ESPC Community Member today to access a wealth of SharePoint, and Azure knowledge for free. New content is added daily to the online Resource Centre, across a variety of topics and formats from Microsoft MVP’s and industry experts. With over 2,500 eBooks, webinars, presentations, how to videos and blogs, there is something to suit everyone’s learning styles and career goals. Already have an account? Sign In Not a member yet? Create a free account Sign Up Sign up to receive exclusive content and analysis from the Microsoft 365 & Azure community, as well as the latest conference updates and offers. NOTE: This is for content only. You do not need to register for conference sessions."
1024,Plug-in and power up: Using functions in Fabric to automate and scale your data architectures,https://www.sharepointeurope.com/events/plug-in-and-power-up-using-functions-in-fabric-to-automate-and-scale-your-data-architectures/,2025-09-16 12:00:00,2025-09-16 13:00:00,200 - Feature Orientated,Data Dev,Data Dev,T14,"Luis Bosquez, Microsoft; Kyle White, Microsoft",1000,FabCon2025EuropeVienna,"Explore the potential of Fabric Functions—a powerful way to extend and automate your solutions in Microsoft Fabric. In this session, we’ll share the latest announcements and explore how you can use serverless functions directly within your Fabric environment to streamline and scale your data architectures. You’ll learn how to build, deploy, and integrate Fabric Functions to handle tasks like data transformation, business logic orchestration, custom validations, and external API calls—all while maintaining clean, modular, and reusable code. Discover how these functions work seamlessly across your Data Pipelines, Notebooks, Power BI reports and Warehouses to empower your teams to move faster and architect more flexible solutions. By the end of the session, you’ll walk away with practical examples, implementation patterns, and a clear understanding of how Fabric Functions can help you modernize your data workflows with agility, scalability, and reduced operational overhead."
1025,Eventhouse / KQL database security setup,https://www.sharepointeurope.com/events/eventhouse-kql-database-security-setup/,2025-09-16 12:00:00,2025-09-16 13:00:00,200 - Feature Orientated,Real-Time Intelligence,Admin & Governance,T15,"Brian Bønk MVP, Intellishore",1000,FabCon2025EuropeVienna,"With the continuous higher impact of the KQL database and Real-Time Intelligence, there comes a demand for securing the database correctly. You might be the new Fabric administrator in your organisation and no-one knows how to handle the KQL database implemented in the data estate. This session takes it leap from a newly appointed Fabric administrator to take care of a KQL database. At level 100 we start from scratch and work our way from a blank database to a fully secured database for users, groups and service principals. With theory and practical examples, this session will help you understand the features for securing your data access in different ways. With a sprinkle of row-level-security for views, tables and functions we have a full implementation after this session. The attendees will be able to bring home the knowledge to implement the needed security on any KQL database. With time for Q&A and open discussion this session is for you who wants a cozy setting and break the barrier for the tough topic of security."
1026,Automating CI/CD processes in Microsoft Fabric: best practices and latest developments,https://www.sharepointeurope.com/events/automating-ci-cd-processes-in-microsoft-fabric-best-practices-and-latest-developments/,2025-09-16 12:00:00,2025-09-16 13:00:00,200 - Feature Orientated,Developer Experiences,Data Engineering,T16,"Yaron Prigal, Microsoft; Aviv Ezrachi, Microsoft",1000,FabCon2025EuropeVienna,"Join us to explore the latest capabilities in Microsoft Fabric for establishing enterprise-grade release processes. We’ll cover the different deployment patterns and tools available to build an end-to-end automated deployments. Gain practical insights into optimizing your processes and learn about upcoming advancements in the Fabric platform. Whether you’re a seasoned developer or just getting started, this session will equip you with the knowledge to streamline your CI/CD processes in Microsoft Fabric."
1027,Democratize with Confidence: Data Quality and Governance in Microsoft Fabric and Purview,https://www.sharepointeurope.com/events/democratize-with-confidence-data-quality-and-governance-in-microsoft-fabric-and-purview/,2025-09-16 12:00:00,2025-09-16 13:00:00,200 - Feature Orientated,Microsoft Purview,Data Engineering,T17,"Wolfgang Strasser MVP, ACP CUBIDO; Shafiq Mannan, Microsoft",1000,FabCon2025EuropeVienna,"One of the biggest hurdles in data analytics projects is ensuring high data quality (DQ). Poor DQ can originate from unreliable source systems or the lack of robust business logic and requirements, resulting in inaccurate insights and delayed project timelines. In this session, we’ll explore how Microsoft Fabric simplifies the DQ process with its built-in capabilities and how public frameworks can further streamline implementation. You’ll also see how Microsoft Purview’s latest DQ features integrate with Microsoft Fabric to enable consistent monitoring and governance across lakehouses, warehouses, and semantic models. By the end of the session, you’ll know how to: Whether you’re a data engineer, analyst, or architect, this session equips you with practical knowledge and tools to elevate your data quality strategy with Microsoft’s ecosystem."
1028,Microsoft Fabric Meets Agentic: Real-Time Fixes for Enterprise Data,https://www.sharepointeurope.com/events/microsoft-fabric-meets-agentic-real-time-fixes-for-enterprise-data/,2025-09-16 12:00:00,2025-09-16 13:00:00,Level 200 - Intermediate,Data Engineering & Management,Data Dev,T18,"Soren Gemeinhardt, CluedIn; Aleksander Kovacevic, CluedIn",1000,FabCon2025EuropeVienna,"The rules of data management are being rewritten and the era of AI-ready, real-time enterprise truth demands a new model. Enter Agentic Data Management. In this session, we’ll explore how autonomous agents are transforming the way data is governed, cleansed, and activated across modern data stacks, with a deep dive into how CluedIn is bringing this to life across the Azure ecosystem and inside Microsoft Fabric. Rather than relying on complex rules, fragile pipelines, or months-long modeling projects, CluedIn deploys intelligent agents that fix data as it lands. They cleanse, map, route and enrich across any lake, system, or schema, without the need for upfront configuration. The result: data pipelines that maintain themselves and deliver trusted data in real-time. You’ll see examples of how data teams can ingest unstructured, messy data and instantly see it refined, matched, and activated, with quality scores climbing in real time, fixes routed to the right humans, and changes logged automatically for compliance. Whether you’re modernizing data management, fueling AI models, or orchestrating complex ERP migrations, agentic automation changes the game. It’s faster. It’s safer. And it works where your data already lives, on Fabric. Join CluedIn at the forefront of this shift, and discover why agentic is not just the next step in MDM, it’s the only modern way to master your data."
